,Year,Sentiment_Score,Count,Total_Count,Percentage
0,2000,neu,5,89,5.617977528089887
1,2001,neu,10,68,14.705882352941178
2,2002,neu,15,105,14.285714285714285
3,2003,neu,32,235,13.617021276595745
4,2004,neu,115,800,14.374999999999998
5,2005,neu,311,1538,20.221066319895968
6,2006,neu,379,2063,18.37130392632089
7,2007,neu,989,4676,21.150556030795553
8,2008,neu,790,3914,20.183955033214104
9,2009,neu,818,3795,21.55467720685112
10,2010,neu,948,4561,20.784915588686694
11,2011,neu,1362,6782,20.082571512828075
12,2012,neu,2392,12153,19.68238295071176
13,2013,neu,7810,34923,22.36348538212639
14,2014,neu,5898,24294,24.277599407261054
