,Asin,Title,Sentiment_Score,Count
0,B000072UMJ,Converse Unisex Chuck Taylor Classic Colors Sneaker,neu,313
1,B0002M7PWW,Yaktrax Walker Traction Cleats for Snow and Ice,neu,253
2,B00006XXGO,Converse Unisex Chuck Taylor All Star Hi Top Black Monochrome Sneaker,neu,247
3,B0002USAW8,Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid),neu,186
4,B0000CNR1L,"Household Essentials Hanging Cosmetic and Grooming Travel Bag, Black",neu,103
5,B0000B35D8,Duragold 14k Gold Hoop Earrings (0.6&quot; Diameter),neu,98
6,B0002FHIM6,Fruit of the Loom 5.4 oz.Cotton T-Shirt,neu,97
7,B00004SR8Z,Lewis N. Clark Deluxe Neck Stash,neu,84
8,B00022JPNE,Rothco VINTAGE PARATROOPER FATIGUE,neu,77
9,B00008KH9C,SPANX POWER PANTIES Style# 004,neu,77
10,B0002UCES4,Underworks Post Delivery Belt - Maternity Belt - Belly Band,neu,76
11,B000074RL3,Enell High Impact Sports Bra,neu,73
12,B0002JA0WC,Non Skid Socks - Hospital Socks - 6 Pack,neu,64
13,B0001XLP9Q,Black Military Straight Shirt Stays 4 Pack,neu,63
14,B0002IC652,P&amp;P Inc. Vintage Retro Mirror Aviator Sunglass,neu,61
15,B0000B35D3,Duragold 14k Yellow Gold Half-Round Hoop Earrings,neu,60
16,B00007GDAL,Buxton Heiress Double CardexTM,neu,55
17,B00029PJKA,Ultra Force Vintage Camo Boonie Hat,neu,54
18,B00004U1J2,Buzz Lightyear Jet Pack,neu,49
19,B0000X5EJO,"Buster Brown 100% Cotton Socks, 6-pk",neu,47
20,B00005TQI7,Kidoozie My First Purse,neu,47
21,B0000B35D9,Duragold 14k Gold Hoop Earrings (1&quot; Diameter),neu,45
22,B00024QZX0,Rainkist Umbrellas Star Automatic,neu,42
23,0000031887,Ballet Dress-Up Fairy Tutu,neu,40
24,B00029R84A,"Top Load Canvas Duffle Bags, Military Style Gear Bags",neu,39
25,B0002EJ4XS,EMT Pants,neu,39
26,B0001VNCJ4,Rothco Canvas Map Case,neu,38
27,B0000AX6DE,Scrusher Boot &amp; Shoe Brush,neu,37
28,B00007GDG5,Buxton Heiress Ensemble Clutch,neu,35
29,B00007GD9I,Buxton Heiress Organizer; Clutch,neu,34
30,B0001BUK9E,Medela Postpartum Support Large/X-Large (28-34 inch),neu,33
31,B0001VWSFS,The &quot;Original&quot; No Headache Visor,neu,33
32,B0000B35EI,Duragold 14k Gold 5mm Ball Studs,neu,32
33,B0000ZSJ9E,FLA Activa 20-30 mmHg Athletic Support Sock Over the Calf - Various Sizes,neu,32
34,B0002A4K04,Soffe Juniors Athletic Short,neu,32
35,B000051SEN,"Suunto Vector Wristop Computer with Compass, Altimeter &amp; Barometer",neu,31
36,B0000B35EQ,Duragold 14k Gold 8mm Ball Studs,neu,31
37,B0000AT3NT,Champion Sports Elastic Uniform Belt,neu,31
38,B00021NXSI,Buxton Heiress Ladies Cardex,neu,31
39,B0002NYQN2,Hanes Comfortblend Crew Sweatshirt # P160,neu,30
40,B00029R7Y6,Venturer Excursion Organizer Bag,neu,29
41,B0001IA06U,Bravado Original Nursing Bra Style 1011,neu,29
42,B00013D2NI,Slimmy - A Super Slim Wallet Alternative,neu,28
43,B0002NYVOG,"8 oz., 50/50 NuBlend&reg; Fleece Crew",neu,28
44,B00007GDD3,Buxton Double-Flap Mini-Bag with Total Wallet Organization,neu,27
45,B0000867AN,Shadowline Long Gown with Flower Petal Embroidery and Flutter Sleeves (32280),neu,27
46,B0000B35GL,"Duragold 14k Yellow, White, or Two-Tone Gold Satin and Polished Crossover Hoop Earrings",neu,27
47,B00004SR9P,Lewis N. Clark Add-A-Bag Luggage Strap,neu,27
48,B0002NZAVO,Port Authority Interlock Mock Turtleneck (K321) Available in 10 Colors,neu,27
49,B000086778,Braza Happy Straps,neu,27
50,B00014DZ2K,AmeriLeather Leather Toiletry Bag,neu,27
51,B0000B35EG,Duragold 14k Yellow Gold 4mm Ball Stud Earrings,neu,27
52,B00004SR8W,Lewis N. Clark Neck Stash,neu,26
53,B0000B35EM,Duragold 14k Gold 7mm Ball Studs,neu,26
54,B0001MLMKY,Swatch GB743 once again white dial rubber strap unisex watch NEW,neu,26
55,B00023JMYU,2mm Sterling Silver 24&quot; Diamond-cut Rope Chain Necklace,neu,26
56,B0000B35DB,"Duragold 14k Yellow Gold Hoop Earrings, (2&quot; Diameter)",neu,26
57,B00007IVVR,Braza Adhesive Bra,neu,26
58,B0000AUTD6,Texsport Zippered Canvas Duffel Bag,neu,25
59,B0000C0SCY,Voguestrap TX1951 Allstrap 19mm Black Regular-Length Fits Casio and Other Sport Watchband,neu,25
60,B00008695M,Shadowline Short Gown with Flower Petal Embroidery and Flutter Sleeves,neu,25
61,B0002FHIMQ,"Fruit Of The Loom Mens 5 Oz., 100% Heavy Cotton Hd&reg; Long-Sleeve T-Shirt",neu,24
62,B0000TSQ8Y,DryGuy GripOns Ice and Snow Traction,neu,24
63,B00024WL92,Voguestrap TX877761 Allstrap 16-20mm Black Adjustable-Length Fits Fast-Wrap-Expedition Watchband,neu,24
64,B0000BVGNJ,Haier HU335W Ultrasonic Cleaner,neu,24
65,B0001WD5RC,The No Headache Visor-Midsize,neu,23
66,B0001XLSWA,Unisex Anorak Self Packable Jacket ROYAL S,neu,22
67,B00009WM7J,Timberland 6 Inch Premium Waterproof Boot (Big Kid),neu,22
68,B0002C9KDY,Betula Licensed by Birkenstock 2 Strap Taupe Sandal Size: 41,neu,21
69,B0002LTGE8,Naturalizer Scout Wide Open Toe Slingback Sandals Shoes Blue Womens New/Display,neu,21
70,B0002A82A8,The Original MuckBoots Adult Wetland Boot,neu,21
71,B00024WAPW,Voguestrap TX16G14 Allstrap 16mm Black Regular-Length Fits Casio G-Shock and Tri-Graph Watchband,neu,21
72,B00024WBTW,Voguestrap TX41718BN Allstrap 18mm Brown Regular-Length Distressed Leather Watchband,neu,20
73,B00024WC8W,Voguestrap TX48320BK Allstrap 20mm Black Regular-Length Padded Genuine Calf Watchband,neu,20
74,B0000AFSX4,Timberland 6&quot; Premium Waterproof Boot (Toddler/Little Kid/Big Kid),neu,20
75,B0002NYUAQ,Jerzees 8 oz. NuBlend 50/50 Pullover Hood,neu,20
76,B00007GD8X,Buxton Check Clutch Mini Bag On A String,neu,20
77,B0002TVB70,Woodlore 3&quot; Suede Bar And 3&quot; Brush,neu,20
78,B0000UZ5P0,Connoisseurs Silver Polishing Cloth,neu,19
79,B0002NYMD6,Hanes Ultimate Cotton Crewneck Adult Sweatshirt,neu,19
80,B0000869QI,Fashion Forms 2001 Os Wht Strap Connection,neu,18
81,B00024WC7S,Voguestrap TX48318BK Allstrap 18mm Black Regular-Length Padded Genuine Calf Watchband,neu,18
82,B0000TW2AC,Sheer Thigh High Nylon Stocking,neu,18
83,B0000DD6C2,Custom LeatherCraft 110USA Heavy Duty USA Flag Elastic Suspender,neu,17
84,B0000C0SCT,Voguestrap TX1840 Allstrap 18mm Black Regular-Length Fits Casio and Other Sport Watchband,neu,17
85,B00029BKAI,ColdGear&reg; Legging Bottoms by Under Armour,neu,17
86,B000078CYM,AmeriBag X-Small Distressed Nylon Healthy Back Bag Tote,neu,17
87,B00024WASE,Voguestrap TX1852 Allstrap 18mm Black Regular-Length Fits Casio and Other Sport Watchband,neu,17
88,B00024WBXI,"Voguestrap TX45318HN Allstrap 18mm Honey Regular-Length Tile Crocodile Calf Watchband, Gold buckle",neu,17
89,B0000B35EL,Duragold 14k Gold 6mm Ball Stud Earrings,neu,17
90,B00009R881,Domke F-2 Original Bag (Black),neu,17
91,B000086Q9O,Converse First Star Crib Shoe,neu,17
92,B0002UUBV6,Capezio Unisex 442 Tapster Tap Shoe,neu,17
93,B0000B35DA,"Duragold 14k Gold Hoop Earrings, (1.4&quot; Diameter)",neu,16
94,B0002M9DQS,Stabilicers Sport Lightweight Serious Traction Cleat,neu,16
95,B00029PHN4,B.D.U. Belt 44&quot; - Available in Various Colors,neu,16
96,B0002VG2XG,Betula Licensed by Birkenstock Taupe Suede Clog Size: 40,neu,16
97,B0002NZ0LO,Port &amp; Company SP10 Long Sleeve Value Denim Shirt,neu,16
98,B0001ZQH74,Travel Accessories Samsonite Windguard Auto Open Umbrella Navy/Burgundy,neu,16
99,B00023K3YS,Sterling Silver Celtic Knot Blue Topaz Hook Earrings,neu,16
100,B0002NZ1S6,Port &amp; Company Youth Cotton T-Shirt,neu,16
101,B00007GD9W,Buxton Heiress Convertible&reg; Billfold,neu,16
102,B0002UD2YO,Dickies Boys 8-20 Pleated Front Pant - School Uniform,neu,15
103,B0001I9WMI,Bravado Designs Womens,neu,15
104,B000073TM3,Timberland Field Boot (Toddler/Little Kid/Big Kid),neu,15
105,B0000A53UX,K-Swiss 201 Classic Tennis Shoe (Infant/Toddler),neu,15
106,B0000ZCB7U,Bali Lacy Skamp Brief Panty,neu,15
107,B0000864CZ,Braza Petal Tops,neu,15
