,Year,Sentiment_Score,Count,Total_Count,Percentage
0,1999,pos,4,4,100.0
1,2000,pos,80,89,89.8876404494382
2,2001,pos,49,68,72.05882352941177
3,2002,pos,86,105,81.9047619047619
4,2003,pos,196,235,83.40425531914893
5,2004,pos,639,800,79.875
6,2005,pos,1142,1538,74.25227568270482
7,2006,pos,1566,2063,75.90887057682986
8,2007,pos,3476,4676,74.33704020530368
9,2008,pos,2931,3914,74.88502810424119
10,2009,pos,2793,3795,73.59683794466403
11,2010,pos,3335,4561,73.11992983994739
12,2011,pos,4999,6782,73.70982011206134
13,2012,pos,9173,12153,75.47930552127046
14,2013,pos,25553,34923,73.1695444263093
15,2014,pos,17374,24294,71.51560055980902
