,Asin,Title,Sentiment_Score,Count
0,B000072UMJ,Converse Unisex Chuck Taylor Classic Colors Sneaker,pos,953
1,B00006XXGO,Converse Unisex Chuck Taylor All Star Hi Top Black Monochrome Sneaker,pos,932
2,B0002M7PWW,Yaktrax Walker Traction Cleats for Snow and Ice,pos,676
3,B0002USAW8,Capezio Daisy 205 Ballet Shoe (Toddler/Little Kid),pos,573
4,B00005TQI7,Kidoozie My First Purse,pos,544
5,B000074RL3,Enell High Impact Sports Bra,pos,439
6,B0002FHIM6,Fruit of the Loom 5.4 oz.Cotton T-Shirt,pos,272
7,B00022JPNE,Rothco VINTAGE PARATROOPER FATIGUE,pos,261
8,B0000B35D8,Duragold 14k Gold Hoop Earrings (0.6&quot; Diameter),pos,250
9,B0000CNR1L,"Household Essentials Hanging Cosmetic and Grooming Travel Bag, Black",pos,226
10,B00004SR8Z,Lewis N. Clark Deluxe Neck Stash,pos,192
11,0000031887,Ballet Dress-Up Fairy Tutu,pos,190
12,B00014DZ2K,AmeriLeather Leather Toiletry Bag,pos,183
13,B0000867AN,Shadowline Long Gown with Flower Petal Embroidery and Flutter Sleeves (32280),pos,182
14,B0000B35D3,Duragold 14k Yellow Gold Half-Round Hoop Earrings,pos,180
15,B00007GDAL,Buxton Heiress Double CardexTM,pos,173
16,B0002IC652,P&amp;P Inc. Vintage Retro Mirror Aviator Sunglass,pos,165
17,B00004U1J2,Buzz Lightyear Jet Pack,pos,162
18,B00008KH9C,SPANX POWER PANTIES Style# 004,pos,162
19,B00029PJKA,Ultra Force Vintage Camo Boonie Hat,pos,161
20,B0002UCES4,Underworks Post Delivery Belt - Maternity Belt - Belly Band,pos,159
21,B00008695M,Shadowline Short Gown with Flower Petal Embroidery and Flutter Sleeves,pos,151
22,B00021NXSI,Buxton Heiress Ladies Cardex,pos,144
23,B0002NYVOG,"8 oz., 50/50 NuBlend&reg; Fleece Crew",pos,134
24,B00007GDG5,Buxton Heiress Ensemble Clutch,pos,133
25,B0002JA0WC,Non Skid Socks - Hospital Socks - 6 Pack,pos,133
26,B00023K3YS,Sterling Silver Celtic Knot Blue Topaz Hook Earrings,pos,129
27,B00007GD9I,Buxton Heiress Organizer; Clutch,pos,125
28,B0001IA06U,Bravado Original Nursing Bra Style 1011,pos,121
29,B0002NYQN2,Hanes Comfortblend Crew Sweatshirt # P160,pos,121
30,B0000B35GL,"Duragold 14k Yellow, White, or Two-Tone Gold Satin and Polished Crossover Hoop Earrings",pos,120
31,B0002NYUAQ,Jerzees 8 oz. NuBlend 50/50 Pullover Hood,pos,119
32,B0000B35D9,Duragold 14k Gold Hoop Earrings (1&quot; Diameter),pos,116
33,B00009WM7J,Timberland 6 Inch Premium Waterproof Boot (Big Kid),pos,115
34,B0002A4K04,Soffe Juniors Athletic Short,pos,110
35,B0000ZSJ9E,FLA Activa 20-30 mmHg Athletic Support Sock Over the Calf - Various Sizes,pos,110
36,B00009R881,Domke F-2 Original Bag (Black),pos,105
37,B0001I9WMI,Bravado Designs Womens,pos,104
38,B0002D8GFG,"Sterling Silver Floating Heart Necklace Flawless Quality, 3/4 x 3/4 inch wide",pos,101
39,B0000B35EM,Duragold 14k Gold 7mm Ball Studs,pos,94
40,B0002A82A8,The Original MuckBoots Adult Wetland Boot,pos,93
41,B00024QZX0,Rainkist Umbrellas Star Automatic,pos,92
42,B0000B35EI,Duragold 14k Gold 5mm Ball Studs,pos,89
43,B0000B35EQ,Duragold 14k Gold 8mm Ball Studs,pos,87
44,B0000X5EJO,"Buster Brown 100% Cotton Socks, 6-pk",pos,87
45,B0002EJ4XS,EMT Pants,pos,86
46,B000051SEN,"Suunto Vector Wristop Computer with Compass, Altimeter &amp; Barometer",pos,81
47,B0001VNCJ4,Rothco Canvas Map Case,pos,81
48,B0000A53UX,K-Swiss 201 Classic Tennis Shoe (Infant/Toddler),pos,79
49,B0002NYMD6,Hanes Ultimate Cotton Crewneck Adult Sweatshirt,pos,76
50,B0002FHIMQ,"Fruit Of The Loom Mens 5 Oz., 100% Heavy Cotton Hd&reg; Long-Sleeve T-Shirt",pos,76
51,B00029R84A,"Top Load Canvas Duffle Bags, Military Style Gear Bags",pos,76
52,B00013D2NI,Slimmy - A Super Slim Wallet Alternative,pos,72
53,B0000TSQ8Y,DryGuy GripOns Ice and Snow Traction,pos,71
54,B00023K6G8,"Sterling Silver Celtic Knot Red Garnet Ring(Sizes 4,5,6,7,8,9)",pos,68
55,B0000AFSX4,Timberland 6&quot; Premium Waterproof Boot (Toddler/Little Kid/Big Kid),pos,67
56,B00001WRHJ,Toy Story 2: Woody Deluxe Costume - Variation Parent,pos,67
57,0123456479,SHINING IMAGE HUGE PINK LEATHER JEWELRY BOX / CASE / STORAGE / ORGANIZER WITH TRAVEL CASE AND LOCK,pos,67
58,B0000AUTD6,Texsport Zippered Canvas Duffel Bag,pos,66
59,B000026D6I,Creative Labs Nomad Jukebox (Blue),pos,66
60,B00023K6CW,"1mm Nickel Free Sterling Silver Italian Snake Chain Necklace(Lengths 14&quot;,16&quot;,18&quot;,20&quot;,22&quot;,24&quot;,30&quot;,36&quot;)",pos,66
61,B00007GD8X,Buxton Check Clutch Mini Bag On A String,pos,66
62,B000078CYM,AmeriBag X-Small Distressed Nylon Healthy Back Bag Tote,pos,66
63,B00029R7Y6,Venturer Excursion Organizer Bag,pos,65
64,B0002NZAVO,Port Authority Interlock Mock Turtleneck (K321) Available in 10 Colors,pos,65
65,B0001XLSWA,Unisex Anorak Self Packable Jacket ROYAL S,pos,64
66,B0002NZ0LO,Port &amp; Company SP10 Long Sleeve Value Denim Shirt,pos,64
67,B000086Q9O,Converse First Star Crib Shoe,pos,64
68,B00007GD9W,Buxton Heiress Convertible&reg; Billfold,pos,63
69,B00004SR8W,Lewis N. Clark Neck Stash,pos,62
70,B0000B35GE,Duragold 14k White Gold Hoop Earrings,pos,60
71,B000073TM3,Timberland Field Boot (Toddler/Little Kid/Big Kid),pos,60
72,B0000B35DB,"Duragold 14k Yellow Gold Hoop Earrings, (2&quot; Diameter)",pos,60
73,B00023JMYU,2mm Sterling Silver 24&quot; Diamond-cut Rope Chain Necklace,pos,59
74,B0000DD6C2,Custom LeatherCraft 110USA Heavy Duty USA Flag Elastic Suspender,pos,59
75,B0000UZ5P0,Connoisseurs Silver Polishing Cloth,pos,59
76,B000147UNU,Enell sports bra,pos,58
77,B0001ZMD4A,Stormbreaker Jacket XXXXX-Large Maroon,pos,56
78,B0000AUYUZ,Stetson Airway Panama Straw Hat,pos,55
79,B0000B35EL,Duragold 14k Gold 6mm Ball Stud Earrings,pos,55
80,B00029BKAI,ColdGear&reg; Legging Bottoms by Under Armour,pos,55
81,B00009EPE7,Mike Candy Catcher,pos,54
82,B0000B35EG,Duragold 14k Yellow Gold 4mm Ball Stud Earrings,pos,53
83,B0002FZRD8,Fantasie Smoothing Molded Underwire Balcony Bra,pos,52
84,B0000A504H,K-Swiss 501 Classic Tennis Shoe (Little Kid),pos,52
85,B0000AT3NT,Champion Sports Elastic Uniform Belt,pos,52
86,B0000AZ10F,14k Gold Emerald-Cut Gemstone Studs,pos,51
87,B0002C81BQ,"Freshwater Cultured Potato Pearl 9.0-10.0mm Necklace, 17&quot;, and 9.0-9.5mm Stud Earring Set",pos,51
88,B0000DYNCP,"Smartwool Trekking Heavy, Crew beige",pos,51
89,B000086778,Braza Happy Straps,pos,50
90,B00024WL92,Voguestrap TX877761 Allstrap 16-20mm Black Adjustable-Length Fits Fast-Wrap-Expedition Watchband,pos,50
91,B0001FF80G,Dopp Jumbo Kit w/ Zip Bottom,pos,50
92,B0002MIXYG,Sperry Top-Sider Mens Largo Slip-On Casual Shoes,pos,49
93,B0000C9W7J,elope Seuss Cat In The Hat,pos,49
94,B0001NLS6Q,Kipling Brownie Large Organizer Wallet,pos,49
95,B0000AZ10I,14k Yellow Gold 7x5mm Oval-Shaped Garnet Stud Earrings,pos,49
96,B00024WBXI,"Voguestrap TX45318HN Allstrap 18mm Honey Regular-Length Tile Crocodile Calf Watchband, Gold buckle",pos,49
97,B0001WD5RC,The No Headache Visor-Midsize,pos,49
98,B0002C9KDY,Betula Licensed by Birkenstock 2 Strap Taupe Sandal Size: 41,pos,49
99,B00009LZPL,"Aeromax Jr. Train Engineer Suit, 4-6",pos,48
100,B000158R2M,"Mizuno Breath Thermo Run Glove, Black, Large",pos,48
101,B0001ZQH74,Travel Accessories Samsonite Windguard Auto Open Umbrella Navy/Burgundy,pos,48
102,B0000B35DA,"Duragold 14k Gold Hoop Earrings, (1.4&quot; Diameter)",pos,48
103,B0000U5BYU,Timex Mens Watch #T53722 (Discontinued by Manufacturer),pos,46
104,B0001DYT94,Floto Luggage Milano Duffle Bag,pos,46
105,B0002UUBV6,Capezio Unisex 442 Tapster Tap Shoe,pos,46
106,B00007GDD3,Buxton Double-Flap Mini-Bag with Total Wallet Organization,pos,45
107,B00024WB1K,Voguestrap TX2232 Allstrap 22mm Black Regular-Length Fits Casio Sport Watchband,pos,45
108,B0000BVGNJ,Haier HU335W Ultrasonic Cleaner,pos,44
109,B0002QVHCC,Capezio Girls 7-16 Ultra Soft Footed Tight,pos,44
110,B00024WB24,Voguestrap TX22G3 Allstrap 22mm Black Regular-Length Fits Casio Data Bank Watchband,pos,44
111,B00004SR9P,Lewis N. Clark Add-A-Bag Luggage Strap,pos,44
112,B0002LTGE8,Naturalizer Scout Wide Open Toe Slingback Sandals Shoes Blue Womens New/Display,pos,44
113,B0001VWSFS,The &quot;Original&quot; No Headache Visor,pos,43
114,B00007IVVR,Braza Adhesive Bra,pos,43
115,B0001MLMKY,Swatch GB743 once again white dial rubber strap unisex watch NEW,pos,43
116,B00008IOHR,Fantasie Smoothing Full Cup Underwire Bra,pos,42
117,B00007AS82,"Kipling Lancelot Flap Shoulder Bag, True Blue, One Size",pos,41
118,B0000ZCB7U,Bali Lacy Skamp Brief Panty,pos,41
119,B00024WC7S,Voguestrap TX48318BK Allstrap 18mm Black Regular-Length Padded Genuine Calf Watchband,pos,41
120,B0002AAPW6,Earcuff 9DGF 14K Gold-filled,pos,40
121,B0002Q67L8,DC COMICS SUPERMAN SHIELD HOODED SWEATSHIRT,pos,39
122,B0000TSIKK,DryGuy Thermanator Boot and Shoe Dryer,pos,39
123,B0001YJ100,Smoky Mountain Children Mesquite Western Boot,pos,38
124,B0002VG2XG,Betula Licensed by Birkenstock Taupe Suede Clog Size: 40,pos,38
125,B00018TMDC,Mens 100% Cotton Military T-Shirt,pos,37
126,B0002FHIWQ,Hanes Unisex Beefy-T 100% Cotton Long Sleeve T-Shirt,pos,37
127,B0000A50X5,K-Swiss 801 Classic Tennis Shoe (Big Kid),pos,36
128,B0000AX6DE,Scrusher Boot &amp; Shoe Brush,pos,36
129,B00023JONO,2mm Sterling Silver 20&quot; Diamond-cut Rope Chain Necklace,pos,36
130,B0002FQCB4,Om Hindu and Celtic Knot Sterling Silver Charm Pendant,pos,36
131,B00007KQDT,Medela Comfort Nursing Bra - White - L,pos,35
132,B00029PL5S,Sherpa-lined Zipper Hooded Sweatshirts,pos,35
133,B0000AFSYY,Timberland 6 Inch Premium Waterproof Boot (Little Kid),pos,34
134,B0001XNTJK,Toddler Frankenstein Costume,pos,34
135,B0002FHGBO,Authentic Pigment 1941 Pigment-Dyed Cotton Boxy,pos,34
136,B0002RIKFI,Adjustable Captain Hat-White Flagship,pos,34
137,B00023K8RK,Turquoise Blue Lapis Reversible Sterling Silver Pendant,pos,34
138,B0002UD2YO,Dickies Boys 8-20 Pleated Front Pant - School Uniform,pos,33
139,B0000AX6CM,Portable Scrusher Boot &amp; Shoe Brush [Misc.],pos,33
140,B0002AAPQM,Earcuff 9DSS Sterling Silver,pos,33
141,B0001BUK9E,Medela Postpartum Support Large/X-Large (28-34 inch),pos,33
142,B00024WC8W,Voguestrap TX48320BK Allstrap 20mm Black Regular-Length Padded Genuine Calf Watchband,pos,33
143,B0000869QI,Fashion Forms 2001 Os Wht Strap Connection,pos,32
144,B0002TVB70,Woodlore 3&quot; Suede Bar And 3&quot; Brush,pos,32
145,B00009OXE8,Disguise Marvels Super Hero Squad Hulk Infant Costume,pos,32
146,B00005JHKO,Thomas The Tank Engine Classic,pos,32
147,B00024W9YY,Voguestrap TX1802BK Allstrap 18mm Black Adjustable-Length Casuals Solid Nylon-Black Watchband,pos,31
148,B0002CKDLM,Air Force Style Military Flightsuit Coveralls,pos,31
