,Asin,Title,Sentiment_Score,Count
0,0000037214,Purple Sequin Tiny Dancer Tutu Ballet Dance Fairy Princess Costume Accessory,neu,1
1,0000031887,Ballet Dress-Up Fairy Tutu,neg,6
2,0000031887,Ballet Dress-Up Fairy Tutu,neu,40
3,0000031887,Ballet Dress-Up Fairy Tutu,pos,190
4,0123456479,SHINING IMAGE HUGE PINK LEATHER JEWELRY BOX / CASE / STORAGE / ORGANIZER WITH TRAVEL CASE AND LOCK,neg,2
5,0123456479,SHINING IMAGE HUGE PINK LEATHER JEWELRY BOX / CASE / STORAGE / ORGANIZER WITH TRAVEL CASE AND LOCK,neu,9
6,0123456479,SHINING IMAGE HUGE PINK LEATHER JEWELRY BOX / CASE / STORAGE / ORGANIZER WITH TRAVEL CASE AND LOCK,pos,67
7,0456808574,Lantin White Visor Wrap Around Ski Style Aviator Sunglasses with Black Lenses,pos,1
8,0456856293,Kismeth Eyewear Classic Large Top Gun Aviator Sunglasses with Gold Frames &amp; Green Smoked Lenses,pos,1
9,0456840532,Max-MPH Black - Large Wayfarer Sunglasses Available in Black with Extra Dark Lenses &amp; Black with Clear (No Strength) Lenses,neu,1
10,0456787283,FX1 Small Adult Aviator Sunglasses with Silver Frames &amp; Fully Mirrored Lenses Offering Full UV400 Protection Cat 4 Lenses,pos,1
11,0641674791,Red Crocodile Embossed Leather Travel Wallet,pos,1
12,0641997078,Vera Bradley Tote Blue Rhapsody,pos,1
13,0681256036,Twilight Saga: New Moon Alice Chocker Necklace Wearable Prop Replica,pos,1
14,0681358173,Bear Ear Hoodie Jacket &amp; Poms on drawstrings ~ DARK CREAM BEIGE ~ Size Large,pos,4
15,0756029929,Spanish Third-year Pin Set of 10,pos,1
16,0756029104,Viva Espanol Pins Set of 10,neu,1
17,1028907516,New Lava Iron Blue Samurai Metal LED Faceless Black Bracelet Watch,neu,1
18,1094780162,Men Automatic U1 Skeleton Mechanical Watch Metal/Leather,pos,1
19,1304567583,Pink Bikini Swimwear Glow in the Dark Fashion,pos,1
20,1304567613,Bikini Swimwear Blue Glow in the Dark Fashion,pos,1
21,1304743128,Glow in the Dark Fashion Beaded Penuar,pos,4
22,1304743594,Watch Black Match Iphone,pos,4
23,1397458135,New Smart Steampunk Globle Motorcycle Carving Retro Brass Case Men Pocket Watch,neu,1
