,Asin,Title,Rating
0,B0000B35G6,Duragold 14k White Gold Hoop Earrings (0.85&quot; Diameter),2.0
1,B0000B35GL,"Duragold 14k Yellow, White, or Two-Tone Gold Satin and Polished Crossover Hoop Earrings",5.0
2,B0000BVF1V,"IGI-Certified Platinum Princess-Cut Four-Prong Diamond Stud Earrings (1 cttw, G-H Color, VS2 Clarity)",3.0
3,B00062NOFU,,4.0
4,B0007KQYQM,,3.0
5,B000FAU5MS,,2.0
6,B000G0L7LU,,5.0
7,B000G35S9O,,5.0
8,B000HHU8F8,,4.0
9,B000IZ9F2G,,5.0
10,B000IZAW9Q,,5.0
11,B000IZAWAK,,4.0
12,B000IZAWB4,,3.0
13,B000IZC8AM,,4.0
14,B000JIJFV8,"14k White Gold Round Diamond Stud Earrings (1/3 cttw, K-L Color, I3 Clarity)",3.0
15,B000MDA9RO,,4.0
16,B000MFGN6I,Sterling Silver and Cubic Zirconia Hoop Earrings,2.0
17,B000N8Q72O,,5.0
18,B000NW23ZU,14k Yellow Gold Simulated White Pearl Ball Necklace,4.0
19,B000O1N9VC,,3.0
20,B000OCUC70,,4.0
21,B000OFSP9O,"Sterling Silver Freshwater Cultured Pearl, Moonstone and Cubic Zirconia Pin",2.0
22,B000OZPQYQ,,3.0
23,B000Q5W264,,2.0
24,B000RTBLHU,,4.0
25,B000RTD1EQ,,4.0
26,B000RTD3AI,,2.0
27,B000RTF6Q2,,1.0
28,B000SMCQRK,Yellow Gold Plated Sterling Silver Diamond Accent Floral Dangle Earrings,4.0
29,B000U60PMW,,3.0
30,B000U6ADR4,,3.0
31,B000UU2IZ0,"Tignanello Perfect 10 Smooth Double Entry Hobo,Merlot,one size",4.0
32,B000UU3MLE,"Tignanello Perfect Body Cross-Body,Hot Pink,One size",4.0
33,B000V3WHIO,,3.0
34,B000V5UQSK,,2.0
35,B000VDYVKG,"Karat Platinum 1.2mm Rolo Chain Necklace, 16&quot;",3.0
36,B000VIDTSG,"10k White Gold, December BirthStone, Coated Blue Topaz and Diamond Ring, Size 7",5.0
37,B000VIF48Y,"Sterling Silver Cubic Zirconia Briolette Drop Pendant by Cheline, 18&quot;",3.0
38,B000VIQCYE,,3.0
39,B000VPHT2G,,2.0
40,B000VYROY0,,2.0
41,B000W8YV28,,2.0
42,B000W96FXA,,5.0
43,B000W96UTY,,5.0
44,B000WI816A,,3.0
45,B000WUQ89U,"ADRIENNE VITTADINI Tarisa Frame Clutch,Gold,one size",3.0
46,B000XHSVEC,,3.0
47,B000XSNVVE,"Sterling Silver Adjustable Black Rayon Cord, 15-19&quot;",3.0
48,B000YD42XY,,4.0
49,B000YD9KMW,,3.0
50,B000YIQWBY,,2.0
51,B000YJAJXK,,3.0
